#STN     LAT      LON  YYYY MM DD hh mm WDIR WSPD   GST WVHT  DPD APD MWD   PRES  PTDY  ATMP  WTMP  DEWP  VIS   TIDE
#text    deg      deg   yr mo day hr mn degT  m/s   m/s   m   sec sec degT   hPa   hPa  degC  degC  degC  nmi     ft
42055  22.124  -93.941 2019 12 02 22 40  MM    MM    MM  1.9   7  5.3 350     MM    MM    MM  27.2    MM   MM     MM
42056  19.812  -84.946 2019 12 02 23 30 350   4.0   6.0   MM  MM   MM  MM 1016.0    MM  27.6  28.5  21.6   MM     MM
42057  16.908  -81.422 2019 12 02 23 30  30   7.0   9.0   MM  MM   MM  MM 1013.5    MM  26.8  28.8  23.6   MM     MM
42058  14.775  -74.560 2019 12 02 23 20  80   8.0   9.0   MM  MM   MM  MM 1011.7    MM  28.4  28.7  25.4   MM     MM
42059  15.252  -67.483 2019 12 02 23 20 120   7.0   8.0   MM  MM   MM  MM 1013.4    MM  28.9  29.0  25.0   MM     MM
42067  30.050  -88.583 2019 12 02 23 00 330   5.0   7.0  0.7   3   MM  MM 1019.3  -0.0  11.6    MM    MM   MM     MM
42085  17.869  -66.532 2019 12 02 23 00  20   5.0   8.0  0.8   5   MM 130 1013.8  +1.2  26.3  29.0    MM   MM     MM
42095  24.407  -81.967 2019 12 02 21 30  MM    MM    MM  1.1   5  3.6 268     MM    MM    MM  26.7    MM   MM     MM
42097  25.700  -83.650 2019 12 02 23 30  MM    MM    MM  2.8   8  6.5 319     MM    MM    MM  26.5    MM   MM     MM
42098  27.590  -82.931 2019 12 02 23 30  MM    MM    MM  2.1   8  5.1 285     MM    MM    MM  21.9    MM   MM     MM
42099  27.345  -84.275 2019 12 02 23 30  MM    MM    MM  2.7   8  6.1 305     MM    MM    MM  26.3    MM   MM     MM
42360  26.689  -90.459 2019 12 02 23 00 340   8.0  10.0  2.3   8   MM  MM 1019.4    MM  18.5  26.7    MM   MM     MM
42395  26.404  -90.792 2019 12 02 23 00 350   8.0  11.0  2.3   8   MM  MM 1019.7    MM  18.6  24.8    MM   MM     MM
44005  43.201  -69.128 2019 12 02 22 50  40  18.0  22.0  5.2  11  7.4 115  999.9  -0.4   4.5   9.5   3.1   MM     MM
44007  43.525  -70.141 2019 12 02 22 50  30  14.0  17.0  3.7  10  7.1 119 1003.1  +0.0  -0.4   7.5  -4.7   MM     MM
44008  40.504  -69.248 2019 12 02 23 30  80   3.0   6.0   MM  MM   MM  MM  992.9    MM  10.8    MM   9.7   MM     MM
44009  38.457  -74.702 2019 12 02 22 50 310  12.0  16.0  2.2   9  5.4  73  996.7  +1.6   6.4  12.9    MM   MM     MM
44011  41.070  -66.588 2019 12 02 23 30  MM   4.0   6.0   MM  MM   MM  MM  992.8    MM    MM  10.6    MM   MM     MM
44013  42.346  -70.651 2019 12 02 22 50  30  16.0  21.0  5.2  11  7.9  79  998.3  -0.3   3.8   9.1   3.4   MM     MM
44014  36.606  -74.840 2019 12 02 22 50 320  12.0  15.0  2.3   7  5.1 346 1001.4  +2.2   9.4  14.5   5.2   MM     MM
44018  42.206  -70.143 2019 12 02 22 50  40  16.0  21.0  6.0  11  8.4  89  996.7  -0.7   5.7    MM   3.6   MM     MM
44020  41.493  -70.279 2019 12 02 23 00  MM  13.0  18.0   MM  MM   MM  MM     MM    MM   6.6   7.6   5.5   MM     MM
44022  40.883  -73.728 2019 12 02 23 15 360   7.0   9.0   MM  MM   MM  MM     MM    MM   2.2   0.0   1.6   MM     MM
44025  40.251  -73.164 2019 12 02 22 50  10  14.0  17.0  3.6   8  6.5  80  995.5  +1.8   5.8  12.0    MM   MM     MM
44027  44.283  -67.300 2019 12 02 22 50  50  17.0  20.0   MM  MM   MM  MM 1003.4  -1.1   4.3   9.3   0.0   MM     MM
44029  42.523  -70.566 2019 12 02 22 04  50  15.0  19.0  6.2  11   MM  MM  997.9    MM   3.6   8.3    MM  1.4     MM
44030  43.179  -70.426 2019 12 02 22 04  20  15.0  19.0  4.7  11   MM  MM 1002.1    MM   0.2    MM    MM   MM     MM
44032  43.715  -69.355 2019 12 02 22 04  30  14.0  17.0  3.5  11   MM  MM 1001.9    MM   1.7   8.9    MM  1.6     MM
44033  44.055  -68.996 2019 12 02 22 04  30  12.0  19.0   MM  MM   MM  MM 1003.0    MM   1.6    MM    MM  1.6     MM
44034  44.103  -68.112 2019 12 02 22 04  40  16.0  20.0  3.2   8   MM  MM 1003.1    MM   3.6   9.1    MM   MM     MM
44037  43.497  -67.876 2019 12 02 22 04  50  15.0  19.0  4.7   8   MM  MM 1001.1    MM   5.0   9.9    MM  1.6     MM
44040  40.956  -73.580 2019 12 02 22 50  20   9.0  12.0  0.6   5   MM  MM     MM    MM   2.6    MM   0.4   MM     MM
44041  37.212  -76.785 2019 12 02 23 24  MM    MM    MM   MM  MM   MM  MM 1004.7    MM   7.9    MM    MM   MM     MM
44042  38.033  -76.335 2019 12 02 23 24 260   9.0  10.0   MM  MM   MM  MM     MM    MM   6.2   9.3    MM   MM     MM
44056  36.199  -75.715 2019 12 02 23 30  MM    MM    MM  0.9   5  4.6  15     MM    MM    MM  12.5    MM   MM     MM
44062  38.556  -76.415 2019 12 02 23 18 310   7.0   9.0   MM  MM   MM  MM 1003.6    MM   6.2    MM    MM   MM     MM
44063  38.964  -76.446 2019 12 02 23 24 350   6.0   7.0   MM  MM   MM  MM 1003.5    MM   5.1   8.0    MM   MM     MM
44064  36.998  -76.087 2019 12 02 23 10 360  11.0  13.0   MM  MM   MM  MM 1003.6    MM   7.1    MM    MM   MM     MM
44065  40.369  -73.703 2019 12 02 23 20 360  11.0  15.0   MM  MM   MM  MM  998.9    MM   2.8   9.9   1.8   MM     MM
44066  39.618  -72.644 2019 12 02 23 30  40  15.0  19.0   MM  MM   MM  MM  992.0    MM  11.1  15.2   9.1   MM     MM
44069  40.699  -73.087 2019 12 02 23 00  10   9.0  12.0   MM  MM   MM  MM     MM    MM   2.8   4.1   0.7   MM     MM
44072  37.201  -76.266 2019 12 02 23 20  50   9.0  11.0   MM  MM   MM  MM     MM    MM   6.6    MM    MM   MM     MM
44086  36.001  -75.421 2019 12 02 23 25  MM    MM    MM  1.5   6  4.5   7     MM    MM    MM  13.7    MM   MM     MM
44087  37.026  -76.151 2019 12 02 23 30  MM    MM    MM  1.0   5  3.5  20     MM    MM    MM  10.5    MM   MM     MM
44089  37.757  -75.334 2019 12 02 23 30  MM    MM    MM  1.2   9  4.5  93     MM    MM    MM  10.9    MM   MM     MM
44090  41.840  -70.329 2019 12 02 23 30  MM    MM    MM  2.3   6  5.4  10     MM    MM    MM   7.9    MM   MM     MM
44091  39.778  -73.769 2019 12 02 23 30  MM    MM    MM  3.1  10  6.3  70     MM    MM    MM  12.4    MM   MM     MM
44095  35.750  -75.330 2019 12 02 23 16  MM    MM    MM  1.6   7  4.9  17     MM    MM    MM  13.5    MM   MM     MM
44097  40.969  -71.127 2019 12 02 23 00  MM    MM    MM  3.2  10  6.2 134     MM    MM    MM  12.3    MM   MM     MM
44098  42.798  -70.168 2019 12 02 23 08  MM    MM    MM  5.9  10   MM  MM     MM    MM    MM   9.0    MM   MM     MM
44099  36.914  -75.720 2019 12 02 23 00  MM    MM    MM  1.6   4   MM  MM     MM    MM    MM  12.5    MM   MM     MM
44100  36.260  -75.594 2019 12 02 23 30  MM    MM    MM  1.3   6  4.6  12     MM    MM    MM  13.3    MM   MM     MM
44137  42.260  -62.000 2019 12 02 23 00  MM    MM    MM  4.7   9   MM  MM  996.6  +0.2  11.9  13.1    MM   MM     MM
44139  44.240  -57.100 2019 12 02 23 00 110  10.0  12.0  1.3  MM   MM  MM 1010.0  -1.8   7.7   6.7    MM   MM     MM
44150  42.500  -64.020 2019 12 02 23 00  80  16.0  20.0  5.9  10   MM  MM  997.2  -0.4   9.6  11.9    MM   MM     MM
44258  44.500  -63.400 2019 12 02 23 00  50  14.0  18.0  2.7   7   MM  MM 1005.9  -0.6   2.1   7.6    MM   MM     MM
45007  42.674  -87.026 2019 12 02 23 20 330   7.0   9.0   MM  MM   MM  MM     MM    MM    MM   5.0    MM   MM     MM
45138  49.540  -65.710 2019 12 02 23 00 290   6.0   7.0  0.7   4   MM  MM 1014.8  +0.9  -1.7   1.2    MM   MM     MM
46001  56.232 -147.949 2019 12 02 22 50 260  18.0  24.0  7.4  11  9.4 272  995.1  +1.0   5.3   7.2    MM   MM     MM
46004  50.930 -136.100 2019 12 02 22 00 280   7.0   9.0  3.8  11   MM  MM 1012.8    MM  10.3  10.5    MM   MM     MM
46005  46.134 -131.079 2019 12 02 22 40  MM    MM    MM  2.3  11  7.9 152     MM    MM    MM    MM    MM   MM     MM
46006  40.782 -137.397 2019 12 02 23 30  30   7.0   9.0   MM  MM   MM  MM 1019.8    MM  14.9  16.3  12.5   MM     MM
46011  34.956 -121.019 2019 12 02 23 30 160   7.0  10.0   MM  MM   MM  MM 1017.8    MM  15.1  14.5  11.4   MM     MM
46012  37.356 -122.881 2019 12 02 23 30 130  11.0  14.0   MM  MM   MM  MM 1015.8    MM  13.5  12.7  12.5   MM     MM
46013  38.253 -123.303 2019 12 02 23 30  90  10.0  13.0   MM  MM   MM  MM 1015.9    MM  12.2  12.4  10.6   MM     MM
46014  39.231 -123.974 2019 12 02 23 30 100   6.0   8.0   MM  MM   MM  MM 1015.0    MM  13.7  11.4  12.4   MM     MM
46022  40.712 -124.529 2019 12 02 23 30 340   2.0   3.0   MM  MM   MM  MM 1016.0    MM  12.7  11.5  10.6   MM     MM
46025  33.763 -119.053 2019 12 02 23 30 220   2.0   4.0   MM  MM   MM  MM 1018.9    MM  16.5  16.7  12.4   MM     MM
46026  37.754 -122.839 2019 12 02 23 30  80   7.0   9.0   MM  MM   MM  MM 1016.9    MM  12.8  12.4    MM   MM     MM
46027  41.852 -124.380 2019 12 02 23 30  MM   0.0   1.0   MM  MM   MM  MM 1017.7    MM  12.3   9.8   6.6   MM     MM
46028  35.771 -121.901 2019 12 02 23 30 110   8.0  11.0   MM  MM   MM  MM 1016.7    MM  13.6  13.7  13.5   MM     MM
46029  46.143 -124.485 2019 12 02 22 50  50   2.0   2.0  1.7  11  7.5 286 1019.5  -0.0   9.3   9.0   6.7   MM     MM
46035  57.010 -177.679 2019 12 02 22 50 260  13.0  17.0  3.5  10  6.7 246 1000.9  +0.4   1.7   4.5    MM   MM     MM
46041  47.353 -124.742 2019 12 02 22 50 140   5.0   6.0  1.9  11  7.8 266 1019.3  -0.5   9.3   9.8    MM   MM     MM
46042  36.785 -122.398 2019 12 02 23 30 130  10.0  13.0   MM  MM   MM  MM 1016.6    MM  14.0  12.9  13.1   MM     MM
46047  32.404 -119.506 2019 12 02 23 20 150   4.0   5.0   MM  MM   MM  MM 1018.5    MM  16.0  16.1  14.2   MM     MM
46050  44.677 -124.515 2019 12 02 23 30 360   2.0   3.0   MM  MM   MM  MM 1018.8    MM   9.8   9.1   7.3   MM     MM
46053  34.252 -119.853 2019 12 02 23 30  40   2.0   3.0   MM  MM   MM  MM 1019.0    MM  16.3  15.8  11.8   MM     MM
46054  34.265 -120.477 2019 12 02 23 20 130   4.0   6.0   MM  MM   MM  MM 1018.3    MM  15.8  15.5  11.9   MM     MM
46059  38.094 -129.951 2019 12 02 23 30  80   5.0   7.0   MM  MM   MM  MM 1012.5    MM    MM  14.9    MM   MM     MM
46060  60.587 -146.819 2019 12 02 22 50 270   9.0  11.0  1.1   5  4.7 272  979.8  +2.5   3.3   7.3    MM   MM     MM
46061  60.238 -146.833 2019 12 02 22 50 320   7.0   9.0  1.6  11  7.0 107  980.9  +2.8   2.8   7.3    MM   MM     MM
46066  52.765 -154.987 2019 12 02 22 50  MM  10.0  13.0  4.6  13  8.5 259 1012.7  -0.0    MM    MM    MM   MM     MM
46069  33.677 -120.213 2019 12 02 23 30  MM   3.0   5.0   MM  MM   MM  MM 1017.8    MM    MM  15.3    MM   MM     MM
46070  55.082  175.153 2019 12 02 22 50 310  15.0  18.0  5.3  11  8.1 296 1013.6  +4.2  -0.7   4.8  -5.6   MM     MM
46071  51.125  179.012 2019 12 02 22 50 310  15.0  18.0  3.7  11  7.0 255 1016.1  +5.1   2.6   5.5    MM   MM     MM
46072  51.672 -172.088 2019 12 02 22 50 200  10.0  13.0  4.3  10  8.0 234 1011.3  -2.9   5.3   6.4    MM   MM     MM
46075  53.983 -160.817 2019 12 02 22 50 280   9.0  11.0  3.3  13  7.5 249 1012.3  +0.5   5.6   7.1  -1.2   MM     MM
46076  59.502 -147.990 2019 12 02 22 50 290   9.0  12.0  4.0  11  7.8 227  980.0  +2.2   5.5   8.2  -1.4   MM     MM
46077  57.902 -154.176 2019 12 02 22 50 270  13.0  16.0  2.1   7  5.4 225  998.7  +1.6   0.4   6.7  -7.9   MM     MM
46078  55.556 -152.582 2019 12 02 22 50 290  14.0  17.0  4.3   9  7.7 277 1003.8  +0.7   5.1   7.0  -0.8   MM     MM
46080  57.947 -150.042 2019 12 02 22 50 270  18.0  21.0  5.8  10  7.9 289  990.1  +1.2   2.0   6.5  -6.9   MM     MM
46082  59.681 -143.372 2019 12 02 22 50 220  12.0  14.0  5.5  12  8.9 224  984.6  +3.1   4.3   8.2   2.3   MM     MM
46083  58.300 -137.997 2019 12 02 22 50 270   8.0  13.0  5.5  12  8.7 235  993.3  +2.7   3.7   8.0    MM   MM     MM
46084  56.622 -136.102 2019 12 02 22 50 240  16.0  20.0  6.0  12  8.6 263  998.9  +1.5   6.5   9.0   0.9   MM     MM
46085  55.883 -142.882 2019 12 02 23 20 250  16.0  21.0   MM  MM   MM  MM  999.1    MM   6.9   8.5   1.7   MM     MM
46086  32.499 -118.052 2019 12 02 23 30 270   4.0   6.0   MM  MM   MM  MM 1018.6    MM  16.3  17.8  11.4   MM     MM
46087  48.493 -124.726 2019 12 02 23 20 110   7.0   8.0  1.7  11  7.6 259 1019.3    MM   6.5   8.2   6.5   MM     MM
46088  48.334 -123.165 2019 12 02 23 20  30   2.0   3.0  0.1  MM  3.4  MM 1020.4    MM   6.9   8.5   3.9   MM     MM
46089  45.925 -125.771 2019 12 02 22 50 250   1.0   2.0  1.9  10  7.6 274 1019.4  +0.0  11.9  12.2    MM   MM     MM
46092  36.751 -122.029 2019 12 02 23 07 120   9.0    MM   MM  MM   MM  MM 1015.9  -1.0  13.0  13.4    MM   MM     MM
46097  44.639 -124.304 2019 12 02 21 50  20   2.0    MM   MM  MM   MM  MM 1017.9    MM  10.0   9.0    MM   MM     MM
46098  44.381 -124.956 2019 12 02 21 50  10   2.0    MM   MM  MM   MM  MM 1018.1    MM   9.9   9.8    MM   MM     MM
46100  46.851 -124.972 2019 12 02 21 50 110   3.0    MM   MM  MM   MM  MM 1018.4    MM   8.6  10.0    MM   MM     MM
46118  48.724 -122.576 2019 12 02 22 55 350    MM    MM   MM  MM   MM  MM 1019.9    MM   4.3    MM   4.3   MM     MM
46120  47.761 -122.397 2019 12 02 23 24 150   1.0    MM   MM  MM   MM  MM 1019.4    MM   8.8    MM   4.4   MM     MM
46125  47.907 -122.627 2019 12 02 23 28  MM    MM    MM   MM  MM   MM  MM 1019.8    MM   8.3    MM   4.5   MM     MM
46128  43.292 -124.538 2019 12 02 23 00  10    MM    MM   MM  MM   MM  MM     MM    MM  10.6  10.5    MM   MM     MM
46131  49.910 -124.990 2019 12 02 23 00 240   2.0   2.0  0.1   2   MM  MM 1020.4  -0.9   4.0   8.2    MM   MM     MM
46145  54.370 -132.440 2019 12 02 23 00  MM    MM    MM  2.8   9   MM  MM 1005.9  +0.7   8.6   8.4    MM   MM     MM
46146  49.340 -123.730 2019 12 02 22 00 130   1.0   2.0  0.1   6   MM  MM 1021.0  -0.3   5.0   7.6    MM   MM     MM
46147  51.830 -131.220 2019 12 02 23 00 240   6.0   7.0  3.0   8   MM  MM 1011.3  +0.4   9.2   9.0    MM   MM     MM
46181  53.830 -128.830 2019 12 02 22 00 230   6.0   7.0  0.1   2   MM  MM 1009.3  -1.0    MM   5.5    MM   MM     MM
46183  53.620 -131.100 2019 12 02 23 00 240   7.0   8.0  2.3   8   MM  MM 1008.6  +0.6   9.4    MM    MM   MM     MM
46184  53.910 -138.850 2019 12 02 23 00 120    MM    MM  5.6  13   MM  MM 1006.9  +1.1   7.9   9.4    MM   MM     MM
46185  52.420 -129.790 2019 12 02 23 00 210   6.0   7.0  2.9   8   MM  MM 1010.6  +0.2   9.4   9.7    MM   MM     MM
46204  51.380 -128.770 2019 12 02 23 00 140  12.0  14.0  3.4   7   MM  MM 1013.7  -0.7   6.7   9.3    MM   MM     MM
46206  48.840 -126.000 2019 12 02 23 00 110   7.0   8.0  2.1  10   MM  MM 1018.8    MM   7.7   8.7    MM   MM     MM
46207  50.870 -129.920 2019 12 02 23 00 230   6.0   7.0  3.2   8   MM  MM 1013.1  +0.1  10.5  10.3    MM   MM     MM
46208  52.520 -132.690 2019 12 02 23 00 260   7.0   9.0  3.3   8   MM  MM 1010.2  +0.4   9.8    MM    MM   MM     MM
46211  46.858 -124.244 2019 12 02 23 30  MM    MM    MM  1.4  12  8.8 282     MM    MM    MM   8.9    MM   MM     MM
46213  40.295 -124.732 2019 12 02 23 30  MM    MM    MM  2.3  13  8.6 297     MM    MM    MM  11.7    MM   MM     MM
46214  37.937 -123.463 2019 12 02 23 30  MM    MM    MM  3.3  12  7.5 287     MM    MM    MM  12.6    MM   MM     MM
46215  35.204 -120.859 2019 12 02 23 30  MM    MM    MM  2.1  11  7.6 268     MM    MM    MM  14.6    MM   MM     MM
46218  34.454 -120.783 2019 12 02 23 30  MM    MM    MM  2.4  13  8.9 290     MM    MM    MM  14.8    MM   MM     MM
46219  33.225 -119.882 2019 12 02 23 30  MM    MM    MM  2.7  14 10.5 290     MM    MM    MM  16.3    MM   MM     MM
46221  33.855 -118.634 2019 12 02 23 26  MM    MM    MM  1.4  13  9.0 257     MM    MM    MM  16.9    MM   MM     MM
46222  33.618 -118.317 2019 12 02 23 23  MM    MM    MM  1.6  13 10.2 264     MM    MM    MM  16.5    MM   MM     MM
46224  33.178 -117.472 2019 12 02 23 30  MM    MM    MM  1.3  13  9.2 267     MM    MM    MM  17.0    MM   MM     MM
46225  32.933 -117.391 2019 12 02 23 30  MM    MM    MM  1.6  13 10.5 277     MM    MM    MM  16.1    MM   MM     MM
46229  43.772 -124.549 2019 12 02 23 30  MM    MM    MM  1.8  12  8.7 305     MM    MM    MM  10.3    MM   MM     MM
46232  32.530 -117.421 2019 12 02 23 30  MM    MM    MM  2.1  15 10.7 280     MM    MM    MM  17.1    MM   MM     MM
46235  32.570 -117.169 2019 12 02 23 30  MM    MM    MM  1.6  17 10.1 270     MM    MM    MM  16.8    MM   MM     MM
46237  37.786 -122.635 2019 12 02 23 00  MM    MM    MM  2.5   9  7.6 209     MM    MM    MM  11.9    MM   MM     MM
